id,var_name,value,unit,reference,Comment,tag_1,tag_2,component
1,cap_inst_wind_onshore_2040,69.7,GW,Pfluger2017 p.224,Predicted installed power of on-shore wind engergy in 2040 (Germany),,,scenario
2,cap_inst_wind_offshore_2040,15,GW,Pfluger2017 p.224,Predicted installed power of off-shore wind engergy in 2040 (Germany),,,scenario
3,cap_inst_PV_2040,52,GW,Pfluger2017 p.224,Predicted installed power of PV in 2040 (Germany),,,scenario
4,misc_renewables_gen_2040_TWh,18.1,TWh/a,Pfluger2017 p.223,Predicted annual power generation renewable energies (Germany 2040),,,scenario
5,biomass_gen_2040_TWh,15.6,TWh/a,Pfluger2017 p.223,Predicted annual power generation from biomass (Germany 2040),,,scenario
6,biomass_CHP_gen_2040_TWh,30.1,TWh/a,Pfluger2017 p.223,Predicted annual power generation from biomass-CHPs (Germany 2040),,,scenario
,,,,,,,,
,,,,Pfluger2017 as Download:,https://www.bmwi.de/Redaktion/DE/Downloads/B/berichtsmodul-3-referenzszenario-und-basisszenario.html,,,
