id,var_name,value,unit,reference,Comment,tag_1,tag_2,component
1,cap_inst_wind_onshore_2040,69.7,GW,,Prognose installierte Nettostromerzeugungsleistung Deutschland 2040,,,scenario
2,cap_inst_wind_offshore_2040,15,GW,,Prognose installierte Nettostromerzeugungsleistung Deutschland 2040,,,scenario
3,cap_inst_PV_2040,52,GW,,Prognose installierte Nettostromerzeugungsleistung Deutschland 2040,,,scenario
4,misc_renewables_gen_2040_TWh,15.6,TWh/a,,Prognose Nettostromerzeugungung Deutschland 2040 in TWh,,,scenario
5,biomass_gen_2040_TWh,18.1,TWh/a,,Prognose Nettostromerzeugungung Deutschland 2040 in TWh,,,scenario
6,biomass_CHP_gen_2040_TWh,30.1,TWh/a,,Prognose Nettostromerzeugungung Deutschland 2040 in TWh,,,scenario
